lemma,original_form,reason,url
задавать,задаваемые,mid_sentence_cap,https://www.hse.ru/ma/pep
будущий,Будущая,mid_sentence_cap,https://www.hse.ru/ma/pep
ранний,Раннее,mid_sentence_cap,https://www.hse.ru/ma/pep
первокурсник,Первокурсникам,mid_sentence_cap,https://www.hse.ru/ma/pep
как,Как,mid_sentence_cap,https://www.hse.ru/ma/pep
обучение,обучения,mid_sentence_cap,https://www.hse.ru/ma/pep
практический,Практическая,mid_sentence_cap,https://www.hse.ru/ma/pep
вкр,ВКР,abbreviation_allcaps,https://www.hse.ru/ma/pep
итоговый,Итоговая,mid_sentence_cap,https://www.hse.ru/ma/pep
рейтинг,Рейтинги,mid_sentence_cap,https://www.hse.ru/ma/pep
студенческий,Студенческая,mid_sentence_cap,https://www.hse.ru/ma/pep
высокий,Высшая,mid_sentence_cap,https://www.hse.ru/ma/pep
исследовательский,исследовательский,mid_sentence_cap,https://www.hse.ru/ma/pep
москва,Москва,pymorphy3:Geox,https://www.hse.ru/ma/pep
магистерский,Магистерская,mid_sentence_cap,https://www.hse.ru/ma/pep
экономический,экономических,mid_sentence_cap,https://www.hse.ru/ma/pep
уже,уже,mid_sentence_cap,https://www.hse.ru/ma/pep
недостаточно,недостаточно,mid_sentence_cap,https://www.hse.ru/ma/pep
только,только,mid_sentence_cap,https://www.hse.ru/ma/pep
это,этим,mid_sentence_cap,https://www.hse.ru/ma/pep
рре,РРЕ,abbreviation_allcaps,https://www.hse.ru/ma/pep
политический,политической,mid_sentence_cap,https://www.hse.ru/ma/pep
решать,решать,mid_sentence_cap,https://www.hse.ru/ma/pep
вестись,ведется,mid_sentence_cap,https://www.hse.ru/ma/pep
английский,английском,mid_sentence_cap,https://www.hse.ru/ma/pep
после,После,mid_sentence_cap,https://www.hse.ru/ma/pep
телеграм-канал,Телеграм-канал,pymorphy3:Geox,https://www.hse.ru/ma/pep
приёмный,Приемная,mid_sentence_cap,https://www.hse.ru/ma/pep
скачать,Скачать,mid_sentence_cap,https://www.hse.ru/ma/pep
академический,Академический,mid_sentence_cap,https://www.hse.ru/ma/pep
ульдан,Ульданов,pymorphy3:Name,https://www.hse.ru/ma/pep
артём,Артём,pymorphy3:Name,https://www.hse.ru/ma/pep
александрович,Александрович,pymorphy3:Patr,https://www.hse.ru/ma/pep
соруководитель,Соруководитель,mid_sentence_cap,https://www.hse.ru/ma/pep
ананьин,Ананьин,pymorphy3:Surn,https://www.hse.ru/ma/pep
олег,Олег,pymorphy3:Name,https://www.hse.ru/ma/pep
игоревич,Игоревич,pymorphy3:Patr,https://www.hse.ru/ma/pep
макаренко,Макаренко,pymorphy3:Surn,https://www.hse.ru/ma/pep
борис,Борис,pymorphy3:Name,https://www.hse.ru/ma/pep
российский,Российские,mid_sentence_cap,https://www.hse.ru/ma/pep
смысленов,Смысленова,pymorphy3:Surn,https://www.hse.ru/ma/pep
екатерина,Екатерина,pymorphy3:Name,https://www.hse.ru/ma/pep
николаевич,Николаевна,pymorphy3:Patr,https://www.hse.ru/ma/pep
нияз,Ниязов,pymorphy3:Name,https://www.hse.ru/ma/pep
сухайло,Сухайл,pymorphy3:Name,https://www.hse.ru/ma/pep
сухрабович,Сухрабович,pymorphy3:Patr,https://www.hse.ru/ma/pep
вконтакте,ВКонтакте,mid_sentence_cap,https://www.hse.ru/ma/pep
телеграм,Телеграм,pymorphy3:Geox,https://www.hse.ru/ma/pep
её,её,mid_sentence_cap,https://www.hse.ru/ma/pep
спасибо,Спасибо,mid_sentence_cap,https://www.hse.ru/ma/pep
англ,АНГЛ,abbreviation_allcaps,https://www.hse.ru/ma/pep
полностью,полностью,mid_sentence_cap,https://www.hse.ru/ma/pep
всесторонний,всестороннее,mid_sentence_cap,https://www.hse.ru/ma/pep
она,Она,mid_sentence_cap,https://www.hse.ru/ma/pep
принимать,принимать,mid_sentence_cap,https://www.hse.ru/ma/pep
