"from_url","to_url"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/termpaper"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/ou/122842106"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/partners"
"https://www.hse.ru/ma/pep","https://social.hse.ru/opendoors"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/keywords/197252470"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/admission"
"https://www.hse.ru/ma/pep","https://ma.hse.ru"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/vacant"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/tags/inv"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/ps"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/admission"
"https://www.hse.ru/ma/pep","https://www.hse.ru/search/search.html?simple=0"
"https://www.hse.ru/ma/pep","https://social.hse.ru/studyoffice_mag"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/theses"
"https://www.hse.ru/ma/pep","https://aspirantura.hse.ru/olympiad"
"https://www.hse.ru/ma/pep","https://ma.hse.ru/pay"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/diplomas"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/internships"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/tracks"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/vosst"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/courses"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/certification"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/edu"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/news/page2.html"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/Requirements"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep?vision=enabled"
"https://www.hse.ru/ma/pep","https://www.hse.ru/data_protection_regulation"
"https://www.hse.ru/ma/pep","https://www.hse.ru/org/persons/66265"
"https://www.hse.ru/ma/pep","https://www.hse.ru/news/edu/1107454790.html"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/faq"
"https://www.hse.ru/ma/pep","https://www.hse.ru/lkuser"
"https://www.hse.ru/ma/pep","https://www.hse.ru/org/persons/510429820"
"https://www.hse.ru/ma/pep","https://ma.hse.ru/earlyinvitation"
"https://www.hse.ru/ma/pep","https://www.hse.ru/en/ma/pep"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/first-year"
"https://www.hse.ru/ma/pep","https://lk.hse.ru/user-suggestions"
"https://www.hse.ru/ma/pep","http://electives.hse.ru"
"https://www.hse.ru/ma/pep","https://www.hse.ru/cookie.html"
"https://www.hse.ru/ma/pep","https://social.hse.ru/commercial"
"https://www.hse.ru/ma/pep","https://admissions.hse.ru/graduate-apply"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/tutors"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/assessment"
"https://www.hse.ru/ma/pep","https://www.hse.ru/studyspravka/credit"
"https://www.hse.ru/ma/pep","https://www.hse.ru/search/search.html?simple=0&searchid=2284688"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/academ_council"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/students"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/project"
"https://www.hse.ru/ma/pep","https://www.hse.ru/ma/pep/retake"
